"si_id","edt_id","pollutant_standard","tribal_code","state_code","county_code","site_number","parameter_code","dv_year","latitude","longitude","address","city_name","county_name","state_name","tribe_name","local_site_name","local_site_id","urbanized_area","cbsa_name","year_0_poc","year_0_complete_quarters","year_0_99th_percentile","year_0_complete_ind","year_0_high_test_perc","year_0_low_test_perc","year_0_cert_ind","year_1_poc","year_1_complete_quarters","year_1_99th_percentile","year_1_complete_ind","year_1_high_test_perc","year_1_low_test_perc","year_1_certification_ind","year_2_poc","year_2_complete_quarters","year_2_99th_percentile","year_2_complete_ind","year_2_high_test_perc","year_2_low_test_perc","year_2_certification_ind","design_value","pollutant_standard_id","statistic_name","primary_standard_level","parameter_name","unit_code","units_of_measure","high_test_dv","low_test_dv","q1_3year_valid_days","q1_3year_max_all_days","q1_3year_min_valid_days","q1_min_completeness","q2_3year_valid_days","q2_3year_max_all_days","q2_3year_min_valid_days","q2_min_completeness","q3_3year_valid_days","q3_3year_max_all_days","q3_3year_min_valid_days","q3_min_completeness","q4_3year_valid_days","q4_3year_max_all_days","q4_3year_min_valid_days","q4_min_completeness","dv_validity_indicator","select_date"
175,5,"SO2 1-hour 2010",,"01","073","1003","42401",2013,33.4855560008686,-86.915,"FAIRFIELD, PFD, 5229 COURT B","Fairfield","Jefferson","Alabama",,"Fairfield","1003","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,21.6,"Y",,,"S",1,4,35.7,"Y",,,"M",1,4,31,"Y",,,"U",29,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,265,69.7,0,93.4065934065934,259,48.4,0,86.8131868131868,257,31,0,81.5217391304348,274,37.6,0,97.8260869565217,"Y",2013-02-28 23:00:00
175,5,"SO2 1-hour 2010",,"01","073","1003","42401",2014,33.4855560008686,-86.915,"FAIRFIELD, PFD, 5229 COURT B","Fairfield","Jefferson","Alabama",,"Fairfield","1003","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,16.6,"Y",,,"S",1,4,21.6,"Y",,,"S",1,4,35.7,"Y",,,"M",25,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,258,69.7,0.4,92.2222222222222,261,48.4,0,86.8131868131868,274,20.8,0.2,97.8260869565217,261,37.6,0.1,85.8695652173913,"Y",2014-02-28 23:00:00
175,5,"SO2 1-hour 2010",,"01","073","1003","42401",2015,33.4855560008686,-86.915,"FAIRFIELD, PFD, 5229 COURT B","Fairfield","Jefferson","Alabama",,"Fairfield","1003","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,16.8,"Y",,,"Y",1,4,16.6,"Y",,,"S",1,4,21.6,"Y",,,"S",18,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,252,69.7,0.4,87.7777777777778,273,34.5,0.3,100,272,17.7,0.2,97.8260869565217,256,21.3,0.1,85.8695652173913,"Y",2015-02-28 23:00:00
175,5,"SO2 1-hour 2010",,"01","073","1003","42401",2016,33.4855560008686,-86.915,"FAIRFIELD, PFD, 5229 COURT B","Fairfield","Jefferson","Alabama",,"Fairfield","1003","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,10.8,"Y",,,"Y",1,4,16.8,"Y",,,"Y",1,4,16.6,"Y",,,"S",15,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,251,44.8,0.5,87.7777777777778,273,34.5,0.7,100,268,16.6,0.2,93.4782608695652,255,16.4,0.1,85.8695652173913,"Y",2016-02-29 23:00:00
175,5,"SO2 1-hour 2010",,"01","073","1003","42401",2017,33.4855560008686,-86.915,"FAIRFIELD, PFD, 5229 COURT B","Fairfield","Jefferson","Alabama",,"Fairfield","1003","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,11.9,"Y",,,"Y",1,4,10.8,"Y",,,"Y",1,4,16.8,"Y",,,"Y",13,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,258,39.7,-0.2,87.7777777777778,272,16.9,0.7,98.9010989010989,264,11.9,0.2,93.4782608695652,268,14.7,0.1,94.5652173913043,"Y",2017-02-28 23:00:00
175,5,"SO2 1-hour 2010",,"01","073","1003","42401",2018,33.4855560008686,-86.915,"FAIRFIELD, PFD, 5229 COURT B","Fairfield","Jefferson","Alabama",,"Fairfield","1003","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,3,9.8,"N",16.9,9.1,"Y",1,4,11.9,"Y",,,"Y",1,4,10.8,"Y",,,"Y",11,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",13,11,248,15.1,-0.2,76.6666666666667,232,16.9,0,56.043956043956,245,11.9,0,77.1739130434783,273,14.7,0.1,96.7391304347826,"Y",2018-02-28 23:00:00
175,5,"SO2 1-hour 2010",,"01","073","1003","42401",2019,33.4855560008686,-86.915,"FAIRFIELD, PFD, 5229 COURT B","Fairfield","Jefferson","Alabama",,"Fairfield","1003","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,10,"Y",,,"S",1,3,9.8,"N",14.4,9.1,"Y",1,4,11.9,"Y",,,"Y",11,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",12,10,249,15.1,-0.2,76.6666666666667,232,14.4,0,56.043956043956,248,29.5,0,77.1739130434783,265,14.7,0.1,88.0434782608695,"Y",2019-02-28 23:00:00
175,5,"SO2 1-hour 2010",,"01","073","1003","42401",2020,33.4855560008686,-86.915,"FAIRFIELD, PFD, 5229 COURT B","Fairfield","Jefferson","Alabama",,"Fairfield","1003","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,5.3,"Y",,,"Y",1,4,10,"Y",,,"S",1,3,9.8,"N",13.5,9.1,"Y",8,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",10,8,248,15.1,0,76.6666666666667,233,13.5,0,56.043956043956,252,29.5,0,77.1739130434783,265,9.4,0.1,88.0434782608695,"Y",2020-02-29 23:00:00
175,5,"SO2 1-hour 2010",,"01","073","1003","42401",2021,33.4855560008686,-86.915,"FAIRFIELD, PFD, 5229 COURT B","Fairfield","Jefferson","Alabama",,"Fairfield","1003","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,6.8,"Y",,,"Y",1,4,5.3,"Y",,,"Y",1,4,10,"Y",,,"S",7,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,269,10,0.1,97.8021978021978,273,13.5,0.1,100,273,29.5,0.1,96.7391304347826,265,9.4,0.1,88.0434782608695,"Y",2021-02-28 23:00:00
175,5,"SO2 1-hour 2010",,"01","073","1003","42401",2022,33.4855560008686,-86.915,"FAIRFIELD, PFD, 5229 COURT B","Fairfield","Jefferson","Alabama",,"Fairfield","1003","Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,6.2,"Y",,,,1,4,6.8,"Y",,,"Y",1,4,5.3,"Y",,,"Y",6,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,267,10,0.1,97.7777777777778,273,9.4,0.1,100,276,12.4,0.1,100,276,12,0,100,"Y",2022-02-28 23:00:00
90914,5,"SO2 1-hour 2010",,"01","073","6004","42401",2017,33.5652780008696,-86.796389,"4113 SHUTTLESWORTH DRIVE","Birmingham","Jefferson","Alabama",,"Sloss Shuttlesworth",,"Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,83.9,"Y",,,"Y",,,,,,,,,,,,,,,84,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,87,110.1,0.4,96.6666666666667,91,71.2,0,100,91,76.8,0.9,98.9130434782609,89,86.7,0.1,96.7391304347826,"N",2017-02-28 23:00:00
90914,5,"SO2 1-hour 2010",,"01","073","6004","42401",2018,33.5652780008696,-86.796389,"4113 SHUTTLESWORTH DRIVE","Birmingham","Jefferson","Alabama",,"Sloss Shuttlesworth",,"Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,54.4,"Y",,,"Y",1,4,83.9,"Y",,,"Y",,,,,,,,69,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,177,110.1,0.1,96.6666666666667,182,71.2,0,100,183,76.8,0.2,98.9130434782609,181,86.7,0.1,96.7391304347826,"N",2018-02-28 23:00:00
90914,5,"SO2 1-hour 2010",,"01","073","6004","42401",2019,33.5652780008696,-86.796389,"4113 SHUTTLESWORTH DRIVE","Birmingham","Jefferson","Alabama",,"Sloss Shuttlesworth",,"Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,40.8,"Y",,,"S",1,4,54.4,"Y",,,"Y",1,4,83.9,"Y",,,"Y",60,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,267,110.1,0.1,96.6666666666667,273,71.2,0,100,273,76.8,0,97.8260869565217,272,86.7,0.1,96.7391304347826,"Y",2019-02-28 23:00:00
244,5,"SO2 1-hour 2010",,"01","097","0003","42401",2013,30.7701810008299,-88.087761,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA","Chickasaw","Mobile","Alabama",,"CHICKASAW","0003","Mobile, AL","Mobile, AL Metropolitan Statistical Area",1,0,,"N",,,"M",,,,,,,,,,,,,,,,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,0,,,0,0,,,0,0,,,0,0,,,0,,2013-02-28 23:00:00
244,5,"SO2 1-hour 2010",,"01","097","0003","42401",2014,30.7701810008299,-88.087761,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA","Chickasaw","Mobile","Alabama",,"CHICKASAW","0003","Mobile, AL","Mobile, AL Metropolitan Statistical Area",1,0,,"N",,,"M",1,0,,"N",,,"M",,,,,,,,,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,0,,,0,0,,,0,0,,,0,0,,,0,,2014-02-28 23:00:00
244,5,"SO2 1-hour 2010",,"01","097","0003","42401",2015,30.7701810008299,-88.087761,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA","Chickasaw","Mobile","Alabama",,"CHICKASAW","0003","Mobile, AL","Mobile, AL Metropolitan Statistical Area",1,0,,"N",,,"M",1,0,,"N",,,"M",1,0,,"N",,,"M",,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,0,,,0,0,,,0,0,,,0,0,,,0,,2015-02-28 23:00:00
244,5,"SO2 1-hour 2010",,"01","097","0003","42401",2016,30.7701810008299,-88.087761,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA","Chickasaw","Mobile","Alabama",,"CHICKASAW","0003","Mobile, AL","Mobile, AL Metropolitan Statistical Area",1,4,12.9,"Y",,,"Y",1,0,,"N",,,"M",1,0,,"N",,,"M",13,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,88,12.9,0.3,0,79,10.2,0.2,0,75,27.2,0.4,0,92,30.1,0.5,0,"N",2016-02-29 23:00:00
244,5,"SO2 1-hour 2010",,"01","097","0003","42401",2017,30.7701810008299,-88.087761,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA","Chickasaw","Mobile","Alabama",,"CHICKASAW","0003","Mobile, AL","Mobile, AL Metropolitan Statistical Area",1,3,10.3,"N",,,"Y",1,4,12.9,"Y",,,"Y",1,0,,"N",,,"M",12,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,178,23.9,0.3,0,170,10.2,0,0,141,27.2,0,0,177,30.1,0,0,"N",2017-02-28 23:00:00
244,5,"SO2 1-hour 2010",,"01","097","0003","42401",2018,30.7701810008299,-88.087761,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA","Chickasaw","Mobile","Alabama",,"CHICKASAW","0003","Mobile, AL","Mobile, AL Metropolitan Statistical Area",1,4,10.1,"Y",,,"Y",1,3,10.3,"N",27.2,10.3,"Y",1,4,12.9,"Y",,,"Y",11,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",17,11,265,23.9,0.3,96.6666666666667,259,10.2,0,86.8131868131868,226,27.2,0,71.7391304347826,264,30.1,0,92.3913043478261,"Y",2018-02-28 23:00:00
244,5,"SO2 1-hour 2010",,"01","097","0003","42401",2019,30.7701810008299,-88.087761,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA","Chickasaw","Mobile","Alabama",,"CHICKASAW","0003","Mobile, AL","Mobile, AL Metropolitan Statistical Area",1,4,21.7,"Y",,,"S",1,4,10.1,"Y",,,"Y",1,3,10.3,"N",23.8,10.3,"Y",14,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",19,14,267,23.9,0.3,96.6666666666667,268,30.6,0,96.7032967032967,233,23.8,0,71.7391304347826,260,27.5,0,92.3913043478261,"Y",2019-02-28 23:00:00
244,5,"SO2 1-hour 2010",,"01","097","0003","42401",2020,30.7701810008299,-88.087761,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA","Chickasaw","Mobile","Alabama",,"CHICKASAW","0003","Mobile, AL","Mobile, AL Metropolitan Statistical Area",1,4,11,"Y",,,"S",1,4,21.7,"Y",,,"S",1,4,10.1,"Y",,,"Y",14,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,256,23.2,-0.4,86.8131868131868,260,30.6,-0.1,91.2087912087912,246,32.5,0,85.8695652173913,266,27.5,-0.3,94.5652173913043,"Y",2020-02-29 23:00:00
244,5,"SO2 1-hour 2010",,"01","097","0003","42401",2021,30.7701810008299,-88.087761,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA","Chickasaw","Mobile","Alabama",,"CHICKASAW","0003","Mobile, AL","Mobile, AL Metropolitan Statistical Area",1,4,10.9,"Y",,,"Y",1,4,11,"Y",,,"S",1,4,21.7,"Y",,,"S",15,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,248,23.2,-0.4,86.8131868131868,255,30.6,-0.1,91.2087912087912,251,32.5,0,85.8695652173913,258,27.5,-0.5,85.8695652173913,"Y",2021-02-28 23:00:00
244,5,"SO2 1-hour 2010",,"01","097","0003","42401",2022,30.7701810008299,-88.087761,"Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA","Chickasaw","Mobile","Alabama",,"CHICKASAW","0003","Mobile, AL","Mobile, AL Metropolitan Statistical Area",1,3,11.2,"N",17.1,11.2,,1,4,10.9,"Y",,,"Y",1,4,11,"Y",,,"S",11,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",13,11,246,14.2,-0.4,86.8131868131868,258,10.7,-0.3,91.2087912087912,255,32.5,0,85.8695652173913,221,17.1,-0.5,55.4347826086956,"Y",2022-02-28 23:00:00
102868,5,"SO2 1-hour 2010",,"01","117","9001","42401",2017,33.0928,-86.8072,"7444 State Hwy 25","Calera","Shelby","Alabama",,"Lhoist, Montevallo Plant",,"Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,43,"Y",,,"S",,,,,,,,,,,,,,,43,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,86,43,-1.4,95.5555555555555,89,23.4,-0.1,97.8021978021978,90,22.3,-0.3,97.8260869565217,86,80.6,-0.9,93.4782608695652,"N",2017-02-28 23:00:00
102868,5,"SO2 1-hour 2010",,"01","117","9001","42401",2018,33.0928,-86.8072,"7444 State Hwy 25","Calera","Shelby","Alabama",,"Lhoist, Montevallo Plant",,"Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,72.2,"Y",,,"Y",1,4,43,"Y",,,"S",,,,,,,,58,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,174,127.7,-1.4,95.5555555555555,174,78.5,-0.3,93.4065934065934,181,48.5,-0.3,97.8260869565217,177,80.6,-0.9,93.4782608695652,"N",2018-02-28 23:00:00
102868,5,"SO2 1-hour 2010",,"01","117","9001","42401",2019,33.0928,-86.8072,"7444 State Hwy 25","Calera","Shelby","Alabama",,"Lhoist, Montevallo Plant",,"Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,77.9,"Y",,,"S",1,4,72.2,"Y",,,"Y",1,4,43,"Y",,,"S",64,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,256,127.7,-1.4,91.1111111111111,261,78.5,-0.3,93.4065934065934,266,98.2,-0.3,92.3913043478261,269,110.3,-1.9,93.4782608695652,"Y",2019-02-28 23:00:00
102868,5,"SO2 1-hour 2010",,"01","117","9001","42401",2020,33.0928,-86.8072,"7444 State Hwy 25","Calera","Shelby","Alabama",,"Lhoist, Montevallo Plant",,"Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,36.6,"Y",,,"S",1,4,77.9,"Y",,,"S",1,4,72.2,"Y",,,"Y",62,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,258,127.7,-0.8,91.1111111111111,262,78.5,-0.3,93.4065934065934,263,98.2,0,92.3913043478261,272,110.3,-1.9,96.7391304347826,"Y",2020-02-29 23:00:00
102868,5,"SO2 1-hour 2010",,"01","117","9001","42401",2021,33.0928,-86.8072,"7444 State Hwy 25","Calera","Shelby","Alabama",,"Lhoist, Montevallo Plant",,"Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,4,50.1,"Y",,,"Y",1,4,36.6,"Y",,,"S",1,4,77.9,"Y",,,"S",55,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,258,72.5,-0.8,91.1111111111111,267,89.1,0.3,95.6043956043956,263,98.2,0,92.3913043478261,273,110.3,-1.9,96.7391304347826,"Y",2021-02-28 23:00:00
102868,5,"SO2 1-hour 2010",,"01","117","9001","42401",2022,33.0928,-86.8072,"7444 State Hwy 25","Calera","Shelby","Alabama",,"Lhoist, Montevallo Plant",,"Birmingham, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",1,3,49.5,"N",69.7,49.5,,1,4,50.1,"Y",,,"Y",1,4,36.6,"Y",,,"S",45,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",52,45,266,43.1,-0.7,96.7032967032967,269,89.1,0.1,97.8021978021978,266,58.7,0,94.5652173913043,242,69.7,0,66.3043478260869,"Y",2022-02-28 23:00:00
96881,5,"SO2 1-hour 2010",,"01","119","0003","42401",2018,32.3626060008535,-88.277992,"NNE of Ward Post Office, Sumter Co., Alabama","Not in a city","Sumter","Alabama",,"Ward, Sumter Co.","0003","Not in an urban area",,1,4,3.6,"Y",,,"Y",,,,,,,,,,,,,,,4,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,74,9.4,-0.5,82.2222222222222,83,2.8,0,91.2087912087912,81,2.6,-0.2,88.0434782608695,88,2.9,0.1,95.6521739130435,"N",2018-02-28 23:00:00
96881,5,"SO2 1-hour 2010",,"01","119","0003","42401",2019,32.3626060008535,-88.277992,"NNE of Ward Post Office, Sumter Co., Alabama","Not in a city","Sumter","Alabama",,"Ward, Sumter Co.","0003","Not in an urban area",,1,4,3.5,"Y",,,"S",1,4,3.6,"Y",,,"Y",,,,,,,,4,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,164,9.4,-0.5,82.2222222222222,170,3.4,-0.5,91.2087912087912,173,6,-0.2,88.0434782608695,180,2.9,0.1,95.6521739130435,"N",2019-02-28 23:00:00
96881,5,"SO2 1-hour 2010",,"01","119","0003","42401",2020,32.3626060008535,-88.277992,"NNE of Ward Post Office, Sumter Co., Alabama","Not in a city","Sumter","Alabama",,"Ward, Sumter Co.","0003","Not in an urban area",,1,4,3.2,"Y",,,"S",1,4,3.5,"Y",,,"S",1,4,3.6,"Y",,,"Y",3,19,"Annual 99th Percentile",75,"Sulfur dioxide","008","Parts per billion",,,255,9.4,-0.5,82.2222222222222,259,3.4,-0.5,91.2087912087912,259,6,-0.2,88.0434782608695,271,6.9,0.1,95.6521739130435,"Y",2020-02-29 23:00:00
