"si_id","edt_id","pollutant_standard_id","tribal_code","state_code","county_code","site_number","parameter_code","dv_year","latitude","longitude","address","city_name","county_name","local_site_name","local_site_id","urbanized_area","cbsa_name","state_name","tribe_name","year_0_valid_days","year_0_complete_quarters","year_0_arith_mean","year_0_98th_percentile","year_0_certification_ind","year_1_valid_days","year_1_complete_quarters","year_1_arith_mean","year_1_98th_percentile","year_1_certification_ind","year_2_valid_days","year_2_complete_quarters","year_2_arith_mean","year_2_98th_percentile","year_2_certification_ind","year_0_q1_valid_days","year_0_q2_valid_days","year_0_q3_valid_days","year_0_q4_valid_days","year_1_q1_valid_days","year_1_q2_valid_days","year_1_q3_valid_days","year_1_q4_valid_days","year_2_q1_valid_days","year_2_q2_valid_days","year_2_q3_valid_days","year_2_q4_valid_days","q1_valid_days","q2_valid_days","q3_valid_days","q4_valid_days","year_0_q1_percent_one_day","year_0_q2_percent_one_day","year_0_q3_percent_one_day","year_0_q4_percent_one_day","year_1_q1_percent_one_day","year_1_q2_percent_one_day","year_1_q3_percent_one_day","year_1_q4_percent_one_day","year_2_q1_percent_one_day","year_2_q2_percent_one_day","year_2_q3_percent_one_day","year_2_q4_percent_one_day","q1_min_value","q2_min_value","q3_min_value","q4_min_value","q1_max_value","q2_max_value","q3_max_value","q4_max_value","year_0_first_max","year_0_second_max","year_0_third_max","year_0_fourth_max","year_0_fifth_max","year_0_sixth_max","year_0_seventh_max","year_0_eighth_max","year_1_first_max","year_1_second_max","year_1_third_max","year_1_fourth_max","year_1_fifth_max","year_1_sixth_max","year_1_seventh_max","year_1_eighth_max","year_2_first_max","year_2_second_max","year_2_third_max","year_2_fourth_max","year_2_fifth_max","year_2_sixth_max","year_2_seventh_max","year_2_eighth_max","design_value","dv_validity_indicator","pollutant_standard","primary_standard_level","comparison_scale","statistic_name","parameter_name","unit_code","units_of_measure","year_0_high_sub","year_0_low_sub","year_1_high_sub","year_1_low_sub","year_2_high_sub","year_2_low_sub","all_12_qtrs_gt_50","all_12_qtrs_gt_75","all_4_qtrs_gt_200_days","select_date"
97516,5,20,,"01","073","2059","42602",2014,33.5214274856,-86.844112,"1110 5th Street West Birmingham, AL 35204","Birmingham","Jefferson","Arkadelphia/Near Road","2059","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,358,4,28.6008379888268,51.2,"N",,,,,,,,,,,84,90,92,92,,,,,,,,,,,,,1,1,1,1,,,,,,,,,5.5,10.7,11.2,7.4,55.2,67.3,57.6,53.6,67.3,57.6,55.2,53.7,53.6,52.1,51.5,51.2,,,,,,,,,,,,,,,,,51,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",51.2,51.2,,,,,"N","N","N",2013-12-31 23:00:00
97516,5,20,,"01","073","2059","42602",2015,33.5214274856,-86.844112,"1110 5th Street West Birmingham, AL 35204","Birmingham","Jefferson","Arkadelphia/Near Road","2059","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,293,2,26.9242320819113,49.8,"N",358,4,28.6008379888268,51.2,"N",,,,,,89,67,87,50,84,90,92,92,,,,,,,,,1,0.78,0.97,0.58,1,1,1,1,,,,,5.5,9.2,11.2,3.1,61.6,67.3,57.6,53.6,61.6,58.1,50.8,50.1,50,49.8,49.3,48.6,67.3,57.6,55.2,53.7,53.6,52.1,51.5,51.2,,,,,,,,,51,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",53.6,,51.2,51.2,,,"N","N","N",2014-12-31 23:00:00
97516,5,20,,"01","073","2059","42602",2016,33.5214274856,-86.844112,"1110 5th Street West Birmingham, AL 35204","Birmingham","Jefferson","Arkadelphia/Near Road","2059","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,336,4,28.5446428571429,52.8,"Y",293,2,26.9242320819113,49.8,"N",358,4,28.6008379888268,51.2,"N",88,84,75,89,89,67,87,50,84,90,92,92,261,241,254,231,1,1,0.87,1,1,0.78,0.97,0.58,1,1,1,1,5.5,9.2,9.2,3.1,61.6,67.3,57.6,114.5,114.5,59,58,57.6,55.3,54.9,52.8,52.3,61.6,58.1,50.8,50.1,50,49.8,49.3,48.6,67.3,57.6,55.2,53.7,53.6,52.1,51.5,51.2,51,"Y","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",52.8,52.8,114.5,,51.2,51.2,"Y","N","Y",2015-12-31 23:00:00
97516,5,20,,"01","073","2059","42602",2017,33.5214274856,-86.844112,"1110 5th Street West Birmingham, AL 35204","Birmingham","Jefferson","Arkadelphia/Near Road","2059","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,299,3,23.3892976588629,43.2,"Y",336,4,28.5446428571429,52.8,"Y",293,2,26.9242320819113,49.8,"N",76,39,92,92,88,84,75,89,89,67,87,50,253,190,254,231,0.99,0.46,1,1,1,1,0.87,1,1,0.78,0.97,0.58,5.6,8.3,4.8,3.1,61.6,58.1,47.7,114.5,50.8,44.4,44.1,43.5,43.4,43.2,43,40.6,114.5,59,58,57.6,55.3,54.9,52.8,52.3,61.6,58.1,50.8,50.1,50,49.8,49.3,48.6,49,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",,,52.8,52.8,114.5,,"N","N","N",2016-12-31 23:00:00
97516,5,20,,"01","073","2059","42602",2018,33.5214274856,-86.844112,"1110 5th Street West Birmingham, AL 35204","Birmingham","Jefferson","Arkadelphia/Near Road","2059","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,354,4,23.7186440677966,44.8,"M",299,3,23.3892976588629,43.2,"Y",336,4,28.5446428571429,52.8,"Y",85,87,91,91,76,39,92,92,88,84,75,89,249,210,258,272,1,1,1,1,0.99,0.46,1,1,1,1,0.87,1,5.6,4.7,4.8,4.5,55.3,52.3,46.8,114.5,49.8,47,46.8,45.8,45.6,45.2,45.1,44.8,50.8,44.4,44.1,43.5,43.4,43.2,43,40.6,114.5,59,58,57.6,55.3,54.9,52.8,52.3,47,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",44.8,44.8,,,52.8,52.8,"N","N","Y",2017-12-31 23:00:00
97516,5,20,,"01","073","2059","42602",2019,33.5214274856,-86.844112,"1110 5th Street West Birmingham, AL 35204","Birmingham","Jefferson","Arkadelphia/Near Road","2059","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,328,4,26.0451219512195,49.9,"S",354,4,23.7186440677966,44.8,"M",299,3,23.3892976588629,43.2,"Y",86,77,87,78,85,87,91,91,76,39,92,92,247,203,270,261,1,0.95,1,0.89,1,1,1,1,0.99,0.46,1,1,5.6,4.7,4.8,4.9,49.8,66.2,53,63.1,66.2,63.1,53,51.7,50.8,50.2,49.9,47.2,49.8,47,46.8,45.8,45.6,45.2,45.1,44.8,50.8,44.4,44.1,43.5,43.4,43.2,43,40.6,46,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",49.9,49.9,44.8,44.8,,,"N","N","Y",2018-12-31 23:00:00
97516,5,20,,"01","073","2059","42602",2020,33.5214274856,-86.844112,"1110 5th Street West Birmingham, AL 35204","Birmingham","Jefferson","Arkadelphia/Near Road","2059","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,350,4,22.978,43.7,"Y",328,4,26.0451219512195,49.9,"S",354,4,23.7186440677966,44.8,"M",87,85,90,88,86,77,87,78,85,87,91,91,258,249,268,257,1,0.98,1,1,1,0.95,1,0.89,1,1,1,1,4.1,4.7,6.8,5.7,50.5,66.2,53,63.1,50.5,46.5,46,45.8,45.4,44.4,43.7,43.3,66.2,63.1,53,51.7,50.8,50.2,49.9,47.2,49.8,47,46.8,45.8,45.6,45.2,45.1,44.8,46,"Y","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",43.7,43.7,49.9,49.9,44.8,44.8,"Y","Y","Y",2019-12-31 23:00:00
97516,5,20,,"01","073","2059","42602",2021,33.5214274856,-86.844112,"1110 5th Street West Birmingham, AL 35204","Birmingham","Jefferson","Arkadelphia/Near Road","2059","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,342,4,21.1178362573099,42,"Y",350,4,22.978,43.7,"Y",328,4,26.0451219512195,49.9,"S",89,81,85,87,87,85,90,88,86,77,87,78,262,243,262,253,1,0.99,0.99,1,1,0.98,1,1,1,0.95,1,0.89,4.1,5.5,5.5,5.2,52.1,66.2,53,63.1,52.1,50.3,46.4,45.9,43.5,43.2,42.3,42,50.5,46.5,46,45.8,45.4,44.4,43.7,43.3,66.2,63.1,53,51.7,50.8,50.2,49.9,47.2,45,"Y","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",42,42,43.7,43.7,49.9,49.9,"Y","Y","Y",2020-12-31 23:00:00
97516,5,20,,"01","073","2059","42602",2022,33.5214274856,-86.844112,"1110 5th Street West Birmingham, AL 35204","Birmingham","Jefferson","Arkadelphia/Near Road","2059","Birmingham, AL","Birmingham-Hoover, AL","Alabama",,350,4,18.68,36.1,"S",342,4,21.1178362573099,42,"Y",350,4,22.978,43.7,"Y",87,89,82,92,89,81,85,87,87,85,90,88,263,255,257,267,1,1,0.98,1,1,0.99,0.99,1,1,0.98,1,1,2.5,2.8,5.5,3.2,52.1,50.3,35.7,45.8,45.7,42.1,41.4,39.7,39.6,36.5,36.1,36,52.1,50.3,46.4,45.9,43.5,43.2,42.3,42,50.5,46.5,46,45.8,45.4,44.4,43.7,43.3,41,"Y","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",36.1,36.1,42,42,43.7,43.7,"Y","Y","Y",2021-12-31 23:00:00
96405,5,20,,"02","090","0034","42602",2014,64.84569,-147.727413,"809 Pioneer Road","Fairbanks","Fairbanks North Star ","NCORE",,"Not in an urban area","Fairbanks, AK","Alaska",,177,2,23.8350282485876,75.3,"Y",,,,,,,,,,,,,86,91,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1.5,5,,,107.8,54.4,107.8,95.1,84.1,75.3,73.1,68.5,67,66.9,,,,,,,,,,,,,,,,,75,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",,,,,,,"N","N","N",2013-12-31 23:00:00
96405,5,20,,"02","090","0034","42602",2015,64.84569,-147.727413,"809 Pioneer Road","Fairbanks","Fairbanks North Star ","NCORE",,"Not in an urban area","Fairbanks, AK","Alaska",,343,4,22.6702623906705,68.1,"Y",177,2,23.8350282485876,75.3,"Y",,,,,,89,84,89,81,,,86,91,,,,,,,,,1,0.98,0.99,0.9,,,1,1,,,,,9.6,2.1,1.5,5,88.9,28.6,107.8,54.4,88.9,84.9,83.8,74.4,70.6,68.5,68.1,67.7,107.8,95.1,84.1,75.3,73.1,68.5,67,66.9,,,,,,,,,72,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",68.1,68.1,,,,,"N","N","N",2014-12-31 23:00:00
96405,5,20,,"02","090","0034","42602",2016,64.84569,-147.727413,"809 Pioneer Road","Fairbanks","Fairbanks North Star ","NCORE",,"Not in an urban area","Fairbanks, AK","Alaska",,320,3,23.5715625,54.9,"Y",343,4,22.6702623906705,68.1,"Y",177,2,23.8350282485876,75.3,"Y",89,90,49,92,89,84,89,81,,,86,91,,,224,264,1,1,0.55,1,1,0.98,0.99,0.9,,,1,1,9.6,2.1,1,3,88.9,30.2,107.8,68.6,69.3,68.6,67.6,59.5,56.2,56,54.9,52.6,88.9,84.9,83.8,74.4,70.6,68.5,68.1,67.7,107.8,95.1,84.1,75.3,73.1,68.5,67,66.9,66,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",107.8,,68.1,68.1,,,"N","N","N",2015-12-31 23:00:00
96405,5,20,,"02","090","0034","42602",2017,64.84569,-147.727413,"809 Pioneer Road","Fairbanks","Fairbanks North Star ","NCORE",,"Not in an urban area","Fairbanks, AK","Alaska",,345,4,23.1211594202898,55.2,"Y",320,3,23.5715625,54.9,"Y",343,4,22.6702623906705,68.1,"Y",90,83,87,85,89,90,49,92,89,84,89,81,268,257,225,258,1,0.97,0.98,0.97,1,1,0.55,1,1,0.98,0.99,0.9,4.5,2.1,1,3,88.9,34.6,21.1,68.6,65.7,59.2,58.9,57.2,56.5,56.2,55.2,54.5,69.3,68.6,67.6,59.5,56.2,56,54.9,52.6,88.9,84.9,83.8,74.4,70.6,68.5,68.1,67.7,59,"Y","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",55.2,55.2,54.9,,68.1,68.1,"Y","N","Y",2016-12-31 23:00:00
96405,5,20,,"02","090","0034","42602",2018,64.84569,-147.727413,"809 Pioneer Road","Fairbanks","Fairbanks North Star ","NCORE",,"Not in an urban area","Fairbanks, AK","Alaska",,347,4,21.8610951008645,53.8,"Y",345,4,23.1211594202898,55.2,"Y",320,3,23.5715625,54.9,"Y",84,84,90,89,90,83,87,85,89,90,49,92,263,257,226,266,0.98,0.95,1,1,1,0.97,0.98,0.97,1,1,0.55,1,4.5,2.2,1,3,69.3,46.1,29.4,68.6,69.1,62.8,62.6,57.8,57.7,56.2,55,53.8,65.7,59.2,58.9,57.2,56.5,56.2,55.2,54.5,69.3,68.6,67.6,59.5,56.2,56,54.9,52.6,55,"Y","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",53.8,53.8,55.2,55.2,54.9,,"Y","N","Y",2017-12-31 23:00:00
96405,5,20,,"02","090","0034","42602",2019,64.84569,-147.727413,"809 Pioneer Road","Fairbanks","Fairbanks North Star ","NCORE",,"Not in an urban area","Fairbanks, AK","Alaska",,199,2,18.4201005025126,53.2,"Y",347,4,21.8610951008645,53.8,"Y",345,4,23.1211594202898,55.2,"Y",55,73,71,0,84,84,90,89,90,83,87,85,229,240,248,174,0.77,0.82,0.86,0.01,0.98,0.95,1,1,1,0.97,0.98,0.97,4.5,2.3,2.3,0,69.1,46.1,29.4,56.2,67.9,56.3,55.9,53.4,53.2,52.8,48.7,48.7,69.1,62.8,62.6,57.8,57.7,56.2,55,53.8,65.7,59.2,58.9,57.2,56.5,56.2,55.2,54.5,54,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",,,53.8,53.8,55.2,55.2,"N","N","N",2018-12-31 23:00:00
96405,5,20,,"02","090","0034","42602",2020,64.84569,-147.727413,"809 Pioneer Road","Fairbanks","Fairbanks North Star ","NCORE",,"Not in an urban area","Fairbanks, AK","Alaska",,,,,,,199,2,18.4201005025126,53.2,"Y",347,4,21.8610951008645,53.8,"Y",,,,,55,73,71,0,84,84,90,89,,,,,,,,,0.77,0.82,0.86,0.01,0.98,0.95,1,1,6.9,2.3,2.3,0,69.1,46.1,29.4,43.1,,,,,,,,,67.9,56.3,55.9,53.4,53.2,52.8,48.7,48.7,69.1,62.8,62.6,57.8,57.7,56.2,55,53.8,54,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",,,,,53.8,53.8,"N","N","N",2019-12-31 23:00:00
96405,5,20,,"02","090","0034","42602",2021,64.84569,-147.727413,"809 Pioneer Road","Fairbanks","Fairbanks North Star ","NCORE",,"Not in an urban area","Fairbanks, AK","Alaska",,,,,,,,,,,,199,2,18.4201005025126,53.2,"Y",,,,,,,,,55,73,71,0,,,,,,,,,,,,,0.77,0.82,0.86,0.01,22.8,2.3,2.3,0,67.9,31.2,23.5,5.7,,,,,,,,,,,,,,,,,67.9,56.3,55.9,53.4,53.2,52.8,48.7,48.7,53,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",,,,,,,"N","N","N",2020-12-31 23:00:00
92449,5,20,,"04","012","8000","42602",2014,34.2439,-113.5586,"ALAMO LAKE STATE PARK","Wenden","La Paz","ALAMO LAKE","34961","Not in an urban area",,"Arizona",,174,2,1.58735632183908,6.3,"S",,,,,,,,,,,,,82,92,,,,,,,,,,,,,,,0.92,1,,,,,,,,,,,0.2,0.5,,,14.2,5.4,14.2,8.1,6.7,6.3,5.6,5.4,5.4,5.4,,,,,,,,,,,,,,,,,6,"N","NO2 1-hour 2010",100,0,"Annual 98th Percentile","Nitrogen dioxide (NO2)","008","Parts per billion",,,,,,,"N","N","N",2013-12-31 23:00:00
